City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,butaritari,3.0707,172.7902,27.23,79,99,8.19,KI,1674619315
1,saint george,37.1041,-113.5841,4.41,46,14,3.13,US,1674619026
2,dikson,73.5069,80.5464,-18.42,93,100,12.67,RU,1674619316
3,yining,29.0361,114.5636,6.24,33,0,0.17,CN,1674619316
4,lucea,18.451,-78.1736,23.25,73,34,4.76,JM,1674619317
5,san patricio,28.017,-97.5169,15.47,53,0,7.72,US,1674619317
6,ranong,9.9658,98.6348,28.75,61,100,6.16,TH,1674619318
7,la ronge,55.1001,-105.2842,-8.88,86,100,2.57,CA,1674619319
8,yelahanka,13.1075,77.6003,23.4,90,40,5.14,IN,1674619319
9,eureka,40.8021,-124.1637,9.4,92,42,0.89,US,1674619093
10,punta arenas,-53.15,-70.9167,10.06,53,75,8.23,CL,1674618532
11,meadow lake,34.8014,-106.5436,1.18,55,67,5.58,US,1674619216
12,thompson,55.7435,-97.8558,-29.57,100,33,1.61,CA,1674619221
13,rocha,-34.4833,-54.3333,18.13,66,100,2.98,UY,1674619322
14,kaitangata,-46.2817,169.8464,17.23,74,87,2.39,NZ,1674619323
15,cabo san lucas,22.8909,-109.9124,18.62,67,84,0.89,MX,1674619039
16,east london,-33.0153,27.9116,19.49,83,100,4.78,ZA,1674619278
17,new norfolk,-42.7826,147.0587,25.4,42,98,1.79,AU,1674619325
18,saint anthony,45.0205,-93.218,-1.04,89,100,3.09,US,1674619326
19,dehui,44.5333,125.7,-15.21,43,100,5.84,CN,1674619327
20,akureyri,65.6835,-18.0878,1.59,98,89,4.8,IS,1674619328
21,seoul,37.5683,126.9778,-9.34,32,0,1.03,KR,1674618980
22,dingle,10.9995,122.6711,27.0,75,49,8.9,PH,1674619329
23,cherskiy,68.75,161.3,-30.09,96,100,0.26,RU,1674619330
24,dunedin,-45.8742,170.5036,19.33,73,44,0.89,NZ,1674618870
25,vaini,-21.2,-175.2,27.5,71,14,5.54,TO,1674619331
26,dakar,14.6937,-17.4441,19.49,78,56,4.0,SN,1674619333
27,rikitea,-23.1203,-134.9692,26.2,79,17,7.75,PF,1674619333
28,albany,42.6001,-73.9662,0.37,87,63,2.59,US,1674619232
29,laguna,38.421,-121.4238,10.73,84,0,0.0,US,1674619335
30,bilibino,68.0546,166.4372,-25.79,71,100,2.03,RU,1674619335
31,kajiado,-1.8524,36.7768,14.06,86,100,3.31,KE,1674619178
32,yellowknife,62.456,-114.3525,-18.71,84,40,1.03,CA,1674619161
33,cape town,-33.9258,18.4232,17.99,64,0,4.02,ZA,1674618824
34,kapaa,22.0752,-159.319,24.99,80,19,1.79,US,1674619338
35,bluff,-46.6,168.3333,16.22,69,16,5.47,NZ,1674619272
36,port blair,11.6667,92.75,28.02,74,100,5.14,IN,1674619340
37,kruisfontein,-34.0033,24.7314,16.6,64,40,2.04,ZA,1674619340
38,pokhara,28.2333,83.9833,21.29,22,9,2.04,NP,1674619096
39,tasiilaq,65.6145,-37.6368,-6.91,63,62,2.46,GL,1674619342
40,grand gaube,-20.0064,57.6608,23.54,86,100,1.79,MU,1674619342
41,alice springs,-23.7,133.8833,33.75,20,83,0.0,AU,1674619343
42,chokurdakh,70.6333,147.9167,-32.86,96,100,1.15,RU,1674619344
43,provideniya,64.3833,-173.3,-14.94,56,0,5.0,RU,1674619345
44,hilo,19.7297,-155.09,24.6,88,30,2.24,US,1674619059
45,airai,-8.9266,125.4092,20.33,80,100,1.14,TL,1674619346
46,suchedniow,51.0478,20.8292,2.79,85,100,1.54,PL,1674619347
47,minab,27.1467,57.0801,13.41,23,9,6.55,IR,1674619348
48,chara,56.9064,118.2631,-27.48,90,100,0.66,RU,1674619349
49,qaanaaq,77.484,-69.3632,-17.66,63,90,4.5,GL,1674619350
50,senekal,-28.3197,27.6208,17.45,76,5,9.42,ZA,1674619351
51,vestmannaeyjar,63.4427,-20.2734,2.95,76,100,18.23,IS,1674619352
52,saldanha,-33.0117,17.9442,16.55,65,0,8.26,ZA,1674619352
53,lebu,-37.6167,-73.65,13.68,75,0,7.22,CL,1674619353
54,darab,28.7519,54.5444,4.67,82,99,1.82,IR,1674619354
55,ushuaia,-54.8,-68.3,3.3,98,43,4.32,AR,1674619355
56,esperance,-33.8667,121.9,21.22,68,8,7.57,AU,1674619356
57,upernavik,72.7868,-56.1549,-14.15,93,100,7.03,GL,1674619356
58,hobart,-42.8794,147.3294,25.59,59,75,6.17,AU,1674619357
59,vaitape,-16.5167,-151.75,27.54,75,100,6.74,PF,1674619358
60,kisangani,0.5167,25.2,20.38,94,49,1.87,CD,1674619359
61,port elizabeth,-33.918,25.5701,17.83,82,82,2.24,ZA,1674619359
62,souillac,-20.5167,57.5167,23.21,94,75,1.54,MU,1674619360
63,mataura,-46.1927,168.8643,21.91,41,21,3.21,NZ,1674619361
64,mar del plata,-38.0023,-57.5575,19.41,73,56,6.26,AR,1674619236
65,berlevag,70.8578,29.0864,0.89,80,100,7.2,NO,1674619362
66,atuona,-9.8,-139.0333,25.83,79,15,7.21,PF,1674619363
67,quatre cocos,-20.2078,57.7625,23.38,91,100,2.98,MU,1674619363
68,saskylakh,71.9167,114.0833,-26.24,99,100,2.01,RU,1674619364
69,tema,5.667,-0.0166,26.84,79,16,3.7,GH,1674619365
70,kloulklubed,7.0419,134.2556,28.28,80,67,6.81,PW,1674619366
71,aswan,24.0934,32.907,13.93,47,0,3.36,EG,1674619366
72,coquimbo,-29.9533,-71.3436,16.85,100,0,2.06,CL,1674618797
73,aklavik,68.2191,-135.0107,-19.75,96,100,4.81,CA,1674619367
74,ortakoy,38.7373,34.0387,-7.86,76,6,1.1,TR,1674619368
75,plettenberg bay,-34.0527,23.3716,17.55,63,95,0.82,ZA,1674619368
76,port hueneme,34.1478,-119.1951,13.77,68,1,2.23,US,1674619080
77,georgetown,5.4112,100.3354,28.96,82,20,1.54,MY,1674619369
78,abalak,58.1286,68.5944,-11.0,93,99,4.72,RU,1674619370
79,inhambane,-23.865,35.3833,26.59,78,33,6.1,MZ,1674619371
80,busselton,-33.65,115.3333,26.75,34,2,2.44,AU,1674619371
81,longyearbyen,78.2186,15.6401,-5.09,68,40,9.77,SJ,1674619372
82,kayes,14.0,-11.0,26.03,15,31,2.19,ML,1674619372
83,arraial do cabo,-22.9661,-42.0278,23.81,90,100,4.32,BR,1674619373
84,kavaratti,10.5669,72.642,25.57,82,100,6.96,IN,1674619374
85,pueblo,38.2545,-104.6091,0.42,58,100,0.89,US,1674618881
86,port macquarie,-31.4333,152.9167,27.72,66,9,5.75,AU,1674619375
87,lokhvytsya,50.3678,33.2602,-3.25,79,1,1.75,UA,1674619375
88,saint-francois,46.4154,3.9054,2.69,81,100,2.06,FR,1674619376
89,the valley,18.217,-63.0578,25.05,74,22,6.98,AI,1674619376
90,yeppoon,-23.1333,150.7333,31.88,62,0,4.44,AU,1674619377
91,noyabrsk,63.1994,75.4507,-14.98,97,100,7.64,RU,1674619378
92,riyadh,24.6877,46.7219,13.08,92,3,3.11,SA,1674619190
93,grass valley,39.2191,-121.0611,7.06,73,17,3.13,US,1674619379
94,te anau,-45.4167,167.7167,22.49,33,28,2.82,NZ,1674619300
95,fortuna,40.5982,-124.1573,9.25,96,0,0.0,US,1674619379
96,jamestown,42.097,-79.2353,-3.58,61,99,1.21,US,1674619234
97,victoria,22.2855,114.1577,12.2,55,78,2.68,HK,1674619367
98,bawku,11.0616,-0.2417,25.25,20,71,1.53,GH,1674619381
99,micheweni,-4.9667,39.8333,26.75,80,81,5.19,TZ,1674619381
100,hermanus,-34.4187,19.2345,14.88,65,11,2.92,ZA,1674619383
101,lawrence,38.9717,-95.2353,2.34,84,100,0.0,US,1674618675
102,shimoda,34.6667,138.95,2.84,39,56,11.27,JP,1674619384
103,bredasdorp,-34.5322,20.0403,13.37,65,2,0.82,ZA,1674619385
104,baykit,61.67,96.37,-33.73,99,65,0.44,RU,1674619386
105,bengkulu,-3.8004,102.2655,27.69,68,100,2.71,ID,1674619387
106,vieques,18.425,-65.8329,26.01,73,40,5.66,PR,1674618823
107,tuktoyaktuk,69.4541,-133.0374,-20.0,84,100,7.2,CA,1674619388
108,sioux lookout,50.1001,-91.917,-13.76,98,95,1.54,CA,1674619389
109,monroe,43.1501,-77.6831,1.09,81,82,0.45,US,1674618974
110,lata,40.1629,-8.3327,5.6,84,0,1.84,PT,1674619391
111,daru,-9.0763,143.2092,29.78,68,96,3.07,PG,1674619392
112,meteti,8.4983,-77.9786,23.21,98,77,1.48,PA,1674619393
113,sept-iles,50.2001,-66.3821,-10.53,66,1,4.92,CA,1674619289
114,sawtell,-30.3833,153.1,28.99,74,6,5.14,AU,1674619394
115,malegaon,20.55,74.5333,20.13,34,100,2.21,IN,1674619395
116,bethel,41.3712,-73.414,2.74,67,100,0.0,US,1674619396
117,gashua,12.871,11.0482,19.94,14,57,4.02,NG,1674619397
118,namatanai,-3.6667,152.4333,28.67,70,98,2.74,PG,1674619371
119,uyuni,-20.4597,-66.825,12.99,44,100,0.84,BO,1674619398
120,karratha,-20.7377,116.8463,33.78,48,58,2.67,AU,1674619398
121,mbabane,-26.3167,31.1333,14.58,96,41,1.37,SZ,1674619399
122,barrow,71.2906,-156.7887,-23.99,77,0,9.26,US,1674619401
123,nyurba,63.2842,118.3319,-41.69,98,91,1.45,RU,1674619401
124,port alfred,-33.5906,26.891,17.88,81,100,0.45,ZA,1674619402
125,severo-kurilsk,50.6789,156.125,-2.51,94,100,30.08,RU,1674619403
126,goma,-1.6792,29.2228,15.8,88,93,1.65,CD,1674619404
127,severobaykalsk,55.65,109.3167,-26.53,91,99,1.09,RU,1674619405
128,abha,18.2164,42.5053,9.53,78,7,1.57,SA,1674619266
129,norman wells,65.282,-126.8329,-22.82,98,77,0.65,CA,1674619407
130,south lake tahoe,38.9332,-119.9844,-1.69,67,4,1.58,US,1674619259
131,ligatne,57.2343,25.0406,0.14,98,100,3.51,LV,1674619408
132,castro,-24.7911,-50.0119,16.21,84,1,1.26,BR,1674619409
133,bathsheba,13.2167,-59.5167,25.34,83,75,5.14,BB,1674619410
134,broome,42.2506,-75.833,-0.57,80,100,1.54,US,1674619411
135,gat,31.61,34.7642,14.11,71,0,0.99,IL,1674619412
136,saint-pierre,-21.3393,55.4781,24.82,88,0,2.06,RE,1674619413
137,alekseyevsk,57.8406,108.3492,-20.87,93,100,2.43,RU,1674619414
138,lompoc,34.6391,-120.4579,9.21,85,0,0.0,US,1674619414
139,willowmore,-33.2926,23.4895,14.59,69,74,3.3,ZA,1674619415
140,mahebourg,-20.4081,57.7,23.47,94,75,1.54,MU,1674619416
141,yar-sale,66.8333,70.8333,-15.12,94,100,3.7,RU,1674619416
142,lazaro cardenas,17.9583,-102.2,22.3,71,0,1.89,MX,1674619417
143,avarua,-21.2078,-159.775,28.03,69,43,2.57,CK,1674619417
144,meulaboh,4.1363,96.1285,28.49,68,55,3.89,ID,1674619418
145,acapulco,16.8634,-99.8901,24.28,66,0,2.97,MX,1674618671
146,seredka,58.1584,28.1858,-2.14,95,100,3.47,RU,1674619419
147,belmonte,-15.8631,-38.8828,25.21,86,33,4.04,BR,1674618905
148,klaksvik,62.2266,-6.589,6.51,83,21,13.5,FO,1674619420
149,carbonia,39.1672,8.5222,4.45,92,100,1.35,IT,1674619255
150,krasnoselkup,65.7,82.4667,-21.51,98,100,8.0,RU,1674619421
151,nogales,31.3086,-110.9422,3.57,60,0,3.09,MX,1674619422
152,lerwick,60.1545,-1.1494,9.0,85,99,10.9,GB,1674619423
153,port hedland,-20.3167,118.5667,36.03,46,75,3.6,AU,1674619424
154,hithadhoo,-0.6,73.0833,27.51,75,98,5.08,MV,1674619424
155,codrington,-38.2667,141.9667,21.94,52,24,7.5,AU,1674619425
156,phon thong,16.3016,103.9768,23.36,41,28,6.75,TH,1674619426
157,college,64.8569,-147.8028,-16.78,82,75,1.54,US,1674619426
158,ribeira grande,38.5167,-28.7,14.87,89,10,1.79,PT,1674619427
159,jumla,29.2747,82.1838,6.81,73,98,2.94,NP,1674619428
160,maragogi,-9.0122,-35.2225,24.51,78,11,2.85,BR,1674619428
161,mouila,-1.8685,11.0559,22.25,98,94,0.65,GA,1674619429
162,pevek,69.7008,170.3133,-26.21,76,60,0.9,RU,1674619430
163,thinadhoo,0.5333,72.9333,27.2,76,99,4.75,MV,1674619430
164,sitka,57.0531,-135.33,6.56,97,100,3.08,US,1674619236
165,taywarah,33.35,64.4167,-15.78,74,1,2.08,AF,1674619432
166,havoysund,70.9963,24.6622,1.13,62,100,6.9,NO,1674619433
167,vao,-22.6667,167.4833,26.68,81,6,3.58,NC,1674619434
168,kyren,51.6828,102.1408,-16.4,82,97,0.1,RU,1674619434
169,paamiut,61.994,-49.6678,2.67,63,100,14.41,GL,1674619435
170,sinnamary,5.3833,-52.95,23.35,76,2,3.78,GF,1674619436
171,scarborough,54.2797,-0.4044,7.96,92,96,0.89,GB,1674619436
172,flinders,-34.5833,150.8552,27.81,69,5,4.83,AU,1674619437
173,kiunga,-6.1219,141.2906,34.61,47,96,1.17,PG,1674619437
174,mataram,-8.5833,116.1167,31.45,71,99,3.2,ID,1674619438
175,ampanihy,-24.7,44.75,24.23,77,100,7.54,MG,1674619439
176,lagoa,39.05,-27.9833,15.23,84,36,9.37,PT,1674619439
177,tura,25.5198,90.2201,24.42,35,5,0.69,IN,1674619440
178,assiniboia,49.6334,-105.9845,-8.1,93,99,0.51,CA,1674619145
179,navrongo,10.8956,-1.0921,25.29,19,26,2.92,GH,1674619441
180,sola,-13.8833,167.55,27.97,76,38,6.09,VU,1674619443
181,tukrah,32.5341,20.5791,14.83,64,100,8.68,LY,1674619444
182,anadyr,64.75,177.4833,-20.72,65,0,3.0,RU,1674619273
183,keetmanshoop,-26.5833,18.1333,16.9,57,0,2.36,NA,1674619446
184,chuy,-33.6971,-53.4616,18.38,73,69,2.63,UY,1674619447
185,torbay,47.6666,-52.7314,1.43,91,100,11.83,CA,1674618868
186,kalmunai,7.4167,81.8167,25.7,72,97,2.54,LK,1674619449
187,collie,-33.3667,116.15,28.27,22,1,3.93,AU,1674619052
188,pafos,34.7667,32.4167,8.88,66,20,3.6,CY,1674619450
189,tekeli,44.83,78.8239,-10.94,82,22,2.43,KZ,1674619451
190,recife,-8.0539,-34.8811,25.59,74,8,2.99,BR,1674619347
191,sambava,-14.2667,50.1667,24.53,85,89,2.5,MG,1674619453
192,tongren,27.7172,109.1853,6.57,30,3,1.43,CN,1674619454
193,puerto ayora,-0.7393,-90.3518,23.64,95,17,2.55,EC,1674619456
194,ngorongoro,-3.2397,35.4875,10.65,79,100,1.25,TZ,1674619457
195,georgiyevka,43.0369,74.7114,-15.98,85,20,3.0,KZ,1674619458
196,dawei,14.0833,98.2,29.7,39,62,4.18,MM,1674619459
197,kavieng,-2.5744,150.7967,28.54,68,91,2.78,PG,1674619461
198,coihaique,-45.5752,-72.0662,8.97,76,100,2.06,CL,1674619462
199,havre-saint-pierre,50.2334,-63.5986,-7.2,67,67,8.22,CA,1674619462
200,marsh harbour,26.5412,-77.0636,22.43,80,100,8.06,BS,1674619463
201,whitehorse,60.7161,-135.0538,-4.53,91,100,3.09,CA,1674619464
202,ponta do sol,32.6667,-17.1,16.35,59,4,4.54,PT,1674619465
203,iqaluit,63.7506,-68.5145,-31.84,67,75,12.86,CA,1674619467
204,umm lajj,25.0213,37.2685,20.49,69,0,1.84,SA,1674619467
205,boa vista,2.8197,-60.6733,22.99,73,0,2.06,BR,1674619469
206,northam,51.0333,-4.2167,4.78,97,75,0.84,GB,1674619470
207,harper,4.375,-7.7169,25.5,84,19,1.44,LR,1674619472
208,saint-philippe,-21.3585,55.7679,24.77,94,100,6.56,RE,1674619474
209,khatanga,71.9667,102.5,-31.8,88,100,1.48,RU,1674619475
210,ilo,-17.6394,-71.3375,21.51,87,86,1.68,PE,1674619476
211,poum,-20.2333,164.0167,28.24,75,14,2.87,NC,1674619477
212,san rafael,-34.6177,-68.3301,22.03,35,24,3.51,AR,1674619477
213,sao filipe,14.8961,-24.4956,20.87,71,100,2.83,CV,1674619478
214,komsomolskiy,40.4272,71.7189,-4.6,80,100,1.03,UZ,1674619479
215,samoded,63.6083,40.5111,-2.59,90,97,4.58,RU,1674619480
216,lorengau,-2.0226,147.2712,27.85,74,83,2.99,PG,1674619480
217,kendari,-3.945,122.4989,30.36,65,92,2.72,ID,1674619481
218,urucara,-2.5364,-57.76,22.18,98,99,0.92,BR,1674619483
219,fairbanks,64.8378,-147.7164,-16.77,83,97,0.5,US,1674619200
220,ilulissat,69.2167,-51.1,-7.99,67,20,10.29,GL,1674619484
221,shitanjing,39.2342,106.3439,-7.06,14,29,5.3,CN,1674619484
222,port lincoln,-34.7333,135.8667,22.16,50,3,7.34,AU,1674619485
223,scottsbluff,41.8666,-103.6672,-6.38,82,28,3.1,US,1674619273
224,morehead,37.2711,-87.1764,4.99,87,100,6.69,US,1674619486
225,panzhihua,26.5851,101.7128,13.61,47,93,0.62,CN,1674619237
226,batagay-alyta,67.8006,130.4114,-39.82,95,25,2.07,RU,1674619487
227,namibe,-15.1961,12.1522,23.38,84,51,0.49,AO,1674619488
228,bambous virieux,-20.3428,57.7575,23.45,94,75,1.54,MU,1674619489
229,syamzha,60.0158,41.0614,-8.96,96,96,3.14,RU,1674619489
230,dubbo,-32.25,148.6167,33.07,22,0,6.17,AU,1674619490
231,vostok,46.4856,135.8833,-28.38,91,100,4.61,RU,1674619491
232,kongsberg,59.6652,9.6465,5.23,100,100,2.43,NO,1674619492
233,naze,28.3667,129.4833,8.14,71,99,6.55,JP,1674619492
234,hasaki,35.7333,140.8333,2.38,36,75,11.11,JP,1674619493
235,khani,41.9563,42.9566,-1.24,46,0,2.17,GE,1674619494
236,helmstedt,52.2279,11.0099,0.24,94,17,2.24,DE,1674619495
237,paramonga,-10.6667,-77.8333,21.4,84,97,2.5,PE,1674619496
238,trelleborg,55.3751,13.1569,0.55,87,6,6.17,SE,1674619497
239,negara,-8.3151,114.6025,28.94,70,48,1.71,ID,1674619498
240,mehamn,71.0357,27.8492,-0.03,100,100,6.17,NO,1674619498
241,chor,25.5167,69.7667,13.89,16,0,3.94,PK,1674619499
242,mumford,5.2618,-0.759,26.1,88,24,3.09,GH,1674619500
243,palanga,55.9175,21.0686,3.01,93,100,3.09,LT,1674619500
244,tezu,27.9167,96.1667,23.85,23,6,1.71,IN,1674619501
245,samagaltay,50.6022,95.0047,-21.45,90,100,1.28,RU,1674619503
246,cap malheureux,-19.9842,57.6142,23.59,86,100,1.79,MU,1674619507
247,grindavik,63.8424,-22.4338,1.26,75,75,14.92,IS,1674619508
248,avera,33.194,-82.5271,7.73,82,90,3.72,US,1674619511
249,belaya gora,68.5333,146.4167,-34.62,99,100,0.68,RU,1674619512
250,nizhniy kuranakh,58.8353,125.4869,-28.47,92,100,0.06,RU,1674619514
251,kodiak,57.79,-152.4072,2.73,100,100,2.06,US,1674619514
252,ternate,0.8,127.4,28.17,75,56,1.81,ID,1674619516
253,kandrian,-6.2167,149.55,25.5,92,100,2.66,PG,1674619518
254,carnarvon,-24.8667,113.6333,30.67,54,1,4.94,AU,1674619520
255,bayangol,50.6977,103.4656,-18.82,81,99,0.71,RU,1674619521
256,katsuura,35.1333,140.3,1.27,33,38,7.94,JP,1674619523
257,eirunepe,-6.6603,-69.8736,21.99,99,38,1.02,BR,1674619524
258,abu dhabi,24.4667,54.3667,18.01,63,0,3.09,AE,1674618920
259,faanui,-16.4833,-151.75,27.54,75,100,6.74,PF,1674619525
260,dourados,-22.2211,-54.8056,23.38,76,41,2.01,BR,1674619423
261,bud,39.447,-86.1758,4.34,84,100,2.71,US,1674619527
262,ilebo,-4.3167,20.5833,20.98,99,100,0.73,CD,1674619529
263,tautira,-17.7333,-149.15,26.88,82,83,7.04,PF,1674619530
264,surdulica,42.6906,22.1708,2.31,93,97,0.99,RS,1674619531
265,faya,18.3851,42.4509,8.29,72,3,1.79,SA,1674619533
266,ahipara,-35.1667,173.1667,22.79,55,11,6.09,NZ,1674619534
267,nanortalik,60.1432,-45.2371,1.08,85,100,21.32,GL,1674619535
268,hofn,64.2539,-15.2082,4.2,64,60,6.25,IS,1674619284
269,priladozhskiy,59.85,31.4833,-1.93,1,100,5.06,RU,1674619537
270,la reforma,25.0833,-108.05,13.77,41,3,5.63,MX,1674619368
271,praia da vitoria,38.7333,-27.0667,14.31,96,87,7.62,PT,1674619539
272,halifax,44.6453,-63.5724,2.0,86,30,5.36,CA,1674619157
273,saint-augustin,51.226,-58.6502,-5.66,78,99,5.42,CA,1674619540
274,north bend,43.4065,-124.2243,6.62,96,0,0.0,US,1674619541
275,perth,-31.9333,115.8333,30.02,37,0,5.14,AU,1674619081
